DATAS;I
27/06/2022;0
28/06/2022;0
29/06/2022;0
30/06/2022;0
01/07/2022;0
02/07/2022;1
03/07/2022;1
04/07/2022;1
05/07/2022;1
06/07/2022;1
07/07/2022;1
08/07/2022;3
09/07/2022;3
10/07/2022;3
11/07/2022;3
12/07/2022;3
13/07/2022;3
14/07/2022;8
15/07/2022;8
16/07/2022;8
17/07/2022;8
18/07/2022;8
19/07/2022;12
20/07/2022;20
21/07/2022;20
22/07/2022;27
23/07/2022;27
24/07/2022;27
25/07/2022;28
26/07/2022;28
27/07/2022;28
28/07/2022;28
29/07/2022;38
30/07/2022;38
31/07/2022;38
01/08/2022;69
02/08/2022;72
03/08/2022;72
04/08/2022;75
05/08/2022;75
06/08/2022;75
07/08/2022;75
08/08/2022;143
09/08/2022;145
10/08/2022;145
11/08/2022;145
12/08/2022;160
13/08/2022;160