DATA;I
27/06/2022;4
28/06/2022;5
29/06/2022;5
30/06/2022;8
01/07/2022;13
02/07/2022;16
03/07/2022;16
04/07/2022;18
05/07/2022;20
06/07/2022;28
07/07/2022;30
08/07/2022;33
09/07/2022;33
10/07/2022;33
11/07/2022;33
12/07/2022;33
13/07/2022;33
14/07/2022;45
15/07/2022;45
16/07/2022;45
17/07/2022;45
18/07/2022;45
19/07/2022;71
20/07/2022;85
21/07/2022;86
22/07/2022;102
23/07/2022;102
24/07/2022;102
25/07/2022;109
26/07/2022;115
27/07/2022;117
28/07/2022;124
29/07/2022;139
30/07/2022;142
31/07/2022;169
01/08/2022;186
02/08/2022;190
03/08/2022;190
04/08/2022;200
05/08/2022;230
06/08/2022;230
07/08/2022;238
08/08/2022;253
09/08/2022;263
10/08/2022;278
11/08/2022;278
12/08/2022;314
13/08/2022;314